title,event_url,image_url,status,production_type,date_time
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,4 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,5 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,6 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,7 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,8 June 2025 - 5:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,11 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,12 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,13 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,14 June 2025 - 4:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,14 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,15 June 2025 - 5:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,18 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,19 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,20 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,21 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,22 June 2025 - 5:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,25 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,26 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,27 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,28 June 2025 - 4:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,28 June 2025 - 7:00 pm
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,N/A,N/A,N/A,29 June 2025 - 5:00 pm
Molly Brenner: Inhibited,https://ci.ovationtix.com/35583/production/1204356,N/A,N/A,N/A,5 June 2025 - 7:00 pm
Molly Brenner: Inhibited,https://ci.ovationtix.com/35583/production/1204356,N/A,N/A,N/A,6 June 2025 - 7:00 pm
Molly Brenner: Inhibited,https://ci.ovationtix.com/35583/production/1204356,N/A,N/A,N/A,7 June 2025 - 7:00 pm
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,N/A,N/A,N/A,5 June 2025 - 9:00 pm
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,N/A,N/A,N/A,7 June 2025 - 9:00 pm
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,N/A,N/A,N/A,12 June 2025 - 9:00 pm
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,N/A,N/A,N/A,14 June 2025 - 9:00 pm
"Luna Performing Arts presents: NEW YORK, NEW YORK",https://ci.ovationtix.com/35583/production/1239047,N/A,N/A,N/A,8 June 2025 - 11:00 am
"Luna Performing Arts presents: NEW YORK, NEW YORK",https://ci.ovationtix.com/35583/production/1239047,N/A,N/A,N/A,8 June 2025 - 12:45 pm
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,N/A,N/A,N/A,12 June 2025 - 9:00 pm
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,N/A,N/A,N/A,13 June 2025 - 9:00 pm
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,N/A,N/A,N/A,14 June 2025 - 9:00 pm
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,N/A,N/A,N/A,15 June 2025 - 7:30 pm
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,N/A,N/A,N/A,19 June 2025 - 7:00 pm
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,N/A,N/A,N/A,20 June 2025 - 7:00 pm
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,N/A,N/A,N/A,21 June 2025 - 7:00 pm
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,N/A,N/A,N/A,26 June 2025 - 7:00 pm
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,N/A,N/A,N/A,27 June 2025 - 7:00 pm
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,N/A,N/A,N/A,28 June 2025 - 7:00 pm
The Lighthouse Series: Group A,https://ci.ovationtix.com/35583/production/1158584,N/A,N/A,N/A,6 July 2025 - 5:00 pm
The Lighthouse Series: Group A,https://ci.ovationtix.com/35583/production/1158584,N/A,N/A,N/A,7 July 2025 - 7:00 pm
The Lighthouse Series: Group A,https://ci.ovationtix.com/35583/production/1158584,N/A,N/A,N/A,9 July 2025 - 7:00 pm
The Lighthouse Series: Group A,https://ci.ovationtix.com/35583/production/1158584,N/A,N/A,N/A,10 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,9 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,10 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,11 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,12 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,13 July 2025 - 5:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,15 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,16 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,17 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,18 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,20 July 2025 - 5:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,22 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,23 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,24 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,25 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,26 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,27 July 2025 - 5:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,30 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,31 July 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,1 August 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,2 August 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1237116,N/A,N/A,N/A,3 August 2025 - 5:00 pm
The Lighthouse Series: Group B,https://ci.ovationtix.com/35583/production/1158585,N/A,N/A,N/A,11 July 2025 - 7:00 pm
The Lighthouse Series: Group B,https://ci.ovationtix.com/35583/production/1158585,N/A,N/A,N/A,12 July 2025 - 7:00 pm
The Lighthouse Series: Group B,https://ci.ovationtix.com/35583/production/1158585,N/A,N/A,N/A,13 July 2025 - 5:00 pm
The Lighthouse Series: Group B,https://ci.ovationtix.com/35583/production/1158585,N/A,N/A,N/A,15 July 2025 - 7:00 pm
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,N/A,N/A,N/A,17 July 2025 - 7:00 pm
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,N/A,N/A,N/A,18 July 2025 - 7:00 pm
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,N/A,N/A,N/A,19 July 2025 - 7:00 pm
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,N/A,N/A,N/A,20 July 2025 - 5:00 pm
Unreal Magic: a night of mind-bending illusion,https://ci.ovationtix.com/35583/production/1241190,N/A,N/A,N/A,22 August 2025 - 9:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,4 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,5 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,6 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,7 September 2025 - 5:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,8 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,9 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,10 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,11 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,12 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,13 September 2025 - 7:00 pm
,https://ci.ovationtix.com/35583/production/1242797,N/A,N/A,N/A,14 September 2025 - 5:00 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,28 October 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,29 October 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,30 October 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,30 October 2025 - 9:00 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,1 November 2025 - 5:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,1 November 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,2 November 2025 - 5:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,2 November 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,4 November 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,5 November 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,6 November 2025 - 7:30 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,6 November 2025 - 9:00 pm
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,N/A,N/A,N/A,7 November 2025 - 7:30 pm
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,N/A,N/A,N/A,5 November 2025 - 9:00 pm
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,N/A,N/A,N/A,6 November 2025 - 9:00 pm
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,N/A,N/A,N/A,7 November 2025 - 9:00 pm
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,N/A,N/A,N/A,8 November 2025 - 9:00 pm
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,N/A,N/A,N/A,9 November 2025 - 5:30 pm
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,N/A,N/A,N/A,18 November 2025 - 7:00 pm
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,N/A,N/A,N/A,19 November 2025 - 7:00 pm
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,N/A,N/A,N/A,20 November 2025 - 7:00 pm
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,N/A,N/A,N/A,21 November 2025 - 7:00 pm
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,N/A,N/A,N/A,22 November 2025 - 7:00 pm
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,N/A,N/A,N/A,23 November 2025 - 5:00 pm
